一	（いち）[Da tradurre]
二	（に）[Da tradurre]
三	（さん）[Da tradurre]
四	（し・よん）[Da tradurre]
五	（ご）[Da tradurre]
六	（ろく）[Da tradurre]
七	（しち・なな）[Da tradurre]
八	（はち）[Da tradurre]
九	（きゅう・く）[Da tradurre]
十	（じゅう）[Da tradurre]
百	（ひゃく）[Da tradurre]
千	（せん）[Da tradurre]
一万	（いちまん）[Da tradurre]
十五	（じゅうご）[Da tradurre]
四十	（よんじゅう）[Da tradurre]
七十	（ななじゅう）[Da tradurre]
九十	（きゅうじゅう）[Da tradurre]
三百	（さんびゃく）[Da tradurre]
四百	（よんびゃく）[Da tradurre]
六百	（ろっびゃく）[Da tradurre]
八百	（はっびゃく）[Da tradurre]
九百円	（きゅうひゃくえん）[Da tradurre]
三千円	（さんぜんえん）[Da tradurre]
四千円	（よんせんえん）[Da tradurre]
七千円	（ななせんえん）[Da tradurre]
八千円	（はっせんえん）[Da tradurre]
九千円	（きゅうせんえん）[Da tradurre]
四万円	（よんまんえん）[Da tradurre]
七万円	（ななまんえん）[Da tradurre]
九万円	（きゅうまんえん）[Da tradurre]
十万円	（じゅうまんえん）[Da tradurre]
百万円	（ひゃくまんえん）[Da tradurre]
一つ	（ひとつ）[Da tradurre]
二つ	（ふたつ）[Da tradurre]
三つ	（みっつ）[Da tradurre]
四つ	（よっつ）[Da tradurre]
五つ	（いつつ）[Da tradurre]
六つ	（むっつ）[Da tradurre]
七つ	（ななつ）[Da tradurre]
八つ	（やっつ）[Da tradurre]
九つ	（ここのつ）[Da tradurre]
十	（とお）[Da tradurre]
口	（くち）[Da tradurre]
目	（め）[Da tradurre]
月	（つき）[Da tradurre]
火	（ひ）[Da tradurre]
水	（みず）[Da tradurre]
木	（き）[Da tradurre]
お金	（おかね）[Da tradurre]
日曜日	（にちようび）[Da tradurre]
月曜日	（げつようび）[Da tradurre]
火曜日	（かようび）[Da tradurre]
水曜日	（すいようび）[Da tradurre]
木曜日	（もくようび）[Da tradurre]
金曜日	（きんようび）[Da tradurre]
土曜日	（どようび）[Da tradurre]
日	（ひ）[Da tradurre]
なん曜日	（なんようび）[Da tradurre]
一日	（ついたち）[Da tradurre]
二日	（ふつか）[Da tradurre]
三日	（みっか）[Da tradurre]
四日	（よっか）[Da tradurre]
五日	（いつか）[Da tradurre]
六日	（むいか）[Da tradurre]
七日	（なのか）[Da tradurre]
八日	（ようか）[Da tradurre]
九日	（ここのか）[Da tradurre]
十日	（とおか）[Da tradurre]
十一日	（じゅういちにち）[Da tradurre]
十四日	（じゅうよっか）[Da tradurre]
十九日	（じゅうくにち）[Da tradurre]
二十日	（hatsuか）[Da tradurre]
二十四日	（にじゅうよっか）[Da tradurre]
二十九日	（にじゅうくにち）[Da tradurre]
なん日	（なんにち）[Da tradurre]
一日	（いちにち）[Da tradurre]
一月	（いちがつ）[Da tradurre]
二月	（にがつ）[Da tradurre]
三月	（さんがつ）[Da tradurre]
四月	（しがつ）[Da tradurre]
五月	（ごがつ）[Da tradurre]
六月	（ろくがつ）[Da tradurre]
七月	（しちがつ）[Da tradurre]
八月	（はちがつ）[Da tradurre]
九月	（くがつ）[Da tradurre]
十月	（じゅうがつ）[Da tradurre]
十一月	（じゅういちがつ）[Da tradurre]
十二月	（じゅうにがつ）[Da tradurre]
なん月	（なんがつ）[Da tradurre]
一か月	（いっかげつ）[Da tradurre]
六か月	（ろっかげつ）[Da tradurre]
十か月	（じゅっかげつ）[Da tradurre]
十一か月	（じゅういっかげつ）[Da tradurre]
なんか月	（なんかげつ）[Da tradurre]
